0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:16 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 5001
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:23 +0530] "GET /shopping-cart/cancel-order?id=53 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:23 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4740
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:24 +0530] "GET /shopping-cart/cancel-order?id=52 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:24 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4482
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:24 +0530] "GET /shopping-cart/cancel-order?id=51 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:24 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 4223
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:24 +0530] "GET /shopping-cart/cancel-order?id=50 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:24 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:25 +0530] "GET /shopping-cart/cancel-order?id=49 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:25 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 3711
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:25 +0530] "GET /shopping-cart/cancel-order?id=48 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:25 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:25 +0530] "GET /shopping-cart/cancel-order?id=47 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:25 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:26 +0530] "GET /shopping-cart/cancel-order?id=46 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:26 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:26 +0530] "GET /shopping-cart/cancel-order?id=45 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:26 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 2677
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:26 +0530] "GET /shopping-cart/cancel-order?id=44 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:26 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:27 +0530] "GET /shopping-cart/cancel-order?id=43 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:27 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:28 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:31 +0530] "GET /shopping-cart/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:31 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:32 +0530] "GET /shopping-cart/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:32 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:33 +0530] "GET /shopping-cart/add-to-cart?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:33 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:34 +0530] "GET /shopping-cart/add-to-cart?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:34 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:36 +0530] "GET /shopping-cart/add-to-cart?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:36 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:38 +0530] "GET /shopping-cart/add-to-cart?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:38 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:40 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:46 +0530] "GET /shopping-cart/cart-check-out HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:46 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:51 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:46:57 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:04 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:18 +0530] "GET /shopping-cart/ HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:23 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 2221
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:24 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:26 +0530] "GET /shopping-cart/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:26 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:27 +0530] "GET /shopping-cart/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:27 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:28 +0530] "GET /shopping-cart/add-to-cart?id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:28 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:29 +0530] "GET /shopping-cart/add-to-cart?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:29 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:31 +0530] "GET /shopping-cart/add-to-cart?id=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:31 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:34 +0530] "GET /shopping-cart/add-to-cart?id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:34 +0530] "GET /shopping-cart/index.jsp HTTP/1.1" 200 5790
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:36 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:38 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:38 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7850
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:39 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:39 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:40 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:40 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:50 +0530] "GET /shopping-cart/quantity-inc-dec?action=dec&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:50 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:51 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:51 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:52 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:52 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:54 +0530] "GET /shopping-cart/quantity-inc-dec?action=dec&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:54 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:55 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:55 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:56 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:56 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:56 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:47:56 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7853
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:48:02 +0530] "GET /shopping-cart/quantity-inc-dec?action=inc&id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:48:02 +0530] "GET /shopping-cart/cart.jsp HTTP/1.1" 200 7852
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:48:07 +0530] "GET /shopping-cart/cart-check-out HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:48:07 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 5256
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:48:18 +0530] "GET /shopping-cart/cancel-order?id=54 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:48:18 +0530] "GET /shopping-cart/orders.jsp HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [30/Jun/2023:20:51:55 +0530] "GET /shopping-cart/cancel-order?id=55 HTTP/1.1" 302 -
